pi = 2.93217631351621044189, duration: 0.000000 ms
pi = 3.12150073692626639499, duration: 0.000000 ms
pi = 3.13959173667312274603, duration: 0.000000 ms
pi = 3.14139264442288368429, duration: 0.000000 ms
pi = 3.14157265349816228195, duration: 0.000000 ms
pi = 3.14159065358876432583, duration: 0.000000 ms
pi = 3.14159245358972105677, duration: 0.030000 ms
pi = 3.14159263359042650876, duration: 0.370000 ms
pi = 3.14159265158997147438, duration: 3.690000 ms
